Poison;Antidote;Death_rate
I;A;0.32
I;A;0.22
I;A;0.22
I;A;0.23
I;B;0.12
I;B;0.09
I;B;0.11
I;B;0.14
I;C;0.23
I;C;0.22
I;C;0.16
I;C;0.13
I;D;0.22
I;D;0.14
I;D;0.15
I;D;0.16
II;A;0.28
II;A;0.34
II;A;0.25
II;A;0.43
II;B;0.11
II;B;0.16
II;B;0.2
II;B;0.08
II;C;0.23
II;C;0.29
II;C;0.32
II;C;0.25
II;D;0.18
II;D;0.1
II;D;0.14
II;D;0.26
III;A;0.45
III;A;0.48
III;A;0.56
III;A;0.43
III;B;0.33
III;B;0.27
III;B;0.26
III;B;0.34
III;C;0.43
III;C;0.4
III;C;0.42
III;C;0.45
III;D;0.33
III;D;0.28
III;D;0.32
III;D;0.3
